
#####################################################
Current value: 0.6681399430547442, Current params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.8014158670391355, Current params: {'LEARNING_RATE': 0.006029866273139704, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.012978100043409657, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7379530150875157, 'DAMPENING': 0.1928681942970291, 'GAMMA': 0.2363401236503166, 'STEP_SIZE': 41}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.8199401072093419, Current params: {'LEARNING_RATE': 0.004089376348113436, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.01767062451279134, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6558036818311445, 'DAMPENING': 0.1711473380624947, 'GAMMA': 0.25451618095182665, 'STEP_SIZE': 43}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

#####################################################
Current value: 0.817803991958499, Current params: {'LEARNING_RATE': 0.004080618618167624, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.003201726488774457, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7721460848776232, 'DAMPENING': 0.16914742678989467, 'GAMMA': 0.4054316861427928, 'STEP_SIZE': 33}
     Best value: 0.6681399430547442, Best params: {'LEARNING_RATE': 0.00414603872783174, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.013120342048625867, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.76000080803184, 'DAMPENING': 0.19837812429562085, 'GAMMA': 0.2795331463672612, 'STEP_SIZE': 42}

