Current value: 1.9092298660959517, Current params: {'LEARNING_RATE': 0.006038352872808554, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.06414025536500857, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.83614058346666, 'DAMPENING': 0.1921851484948441, 'GAMMA': 0.347798031137115, 'STEP_SIZE': 27, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 7, 'ALPHA': 0.616217684070712, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 89, 'ETA': 0.11984149696011359, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.7025356122425623, Best params: {'LEARNING_RATE': 0.009450927898667609, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02554838885881393, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8978580298578576, 'DAMPENING': 0.19079330204994943, 'GAMMA': 0.2834660504228145, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 8, 'ALPHA': 0.5782620827166532, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 205, 'ETA': 0.19939008140994618, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 1.955268314906529, Current params: {'LEARNING_RATE': 0.0039799325890148745, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.020495089453358085, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7486256002882352, 'DAMPENING': 0.005161028137889745, 'GAMMA': 0.7278998697857603, 'STEP_SIZE': 47, 'USE_AUGMIX': True, 'SEVERITY': 2, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 9, 'ALPHA': 0.3766611706429648, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 93, 'ETA': 0.650739764594675, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 1.7025356122425623, Best params: {'LEARNING_RATE': 0.009450927898667609, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.02554838885881393, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.8978580298578576, 'DAMPENING': 0.19079330204994943, 'GAMMA': 0.2834660504228145, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 8, 'ALPHA': 0.5782620827166532, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 205, 'ETA': 0.19939008140994618, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 10, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
Current value: 0.8275452426501683, Current params: {'LEARNING_RATE': 0.009954596772467714, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03535424618552506, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6349660220338134, 'DAMPENING': 0.09278734441169971, 'GAMMA': 0.8854963506794107, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9852970276324313, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 152, 'ETA': 0.08216905489656232, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 0.8275452426501683, Best params: {'LEARNING_RATE': 0.009954596772467714, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.03535424618552506, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6349660220338134, 'DAMPENING': 0.09278734441169971, 'GAMMA': 0.8854963506794107, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 4, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9852970276324313, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 152, 'ETA': 0.08216905489656232, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}

#####################################################
