Current value: 2.481860944202968, Current params: {'LEARNING_RATE': 0.0005204983068031484, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.01808076995825051, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.5751192278810705, 'DAMPENING': 0.08922917808798775, 'GAMMA': 0.6639428633502005, 'STEP_SIZE': 16, 'USE_AUGMIX': False, 'SEVERITY': 10, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 3, 'ALPHA': 0.6039448268354433, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 221, 'ETA': 0.40217986113403137, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 7, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 2.2119404077529907, Current params: {'LEARNING_RATE': 0.0006924686572690686, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.03230483076495407, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8960792446625776, 'DAMPENING': 0.14396130482642233, 'GAMMA': 0.3460918619965899, 'STEP_SIZE': 9, 'USE_AUGMIX': True, 'SEVERITY': 3, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 6, 'ALPHA': 0.6574184402797079, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 204, 'ETA': 0.2352672226663074, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Fourier,Dlow,Augmix,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9836175697190421, Current params: {'LEARNING_RATE': 0.00264756715931594, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0015864335790011057, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5406016504178193, 'DAMPENING': 0.07493799827720286, 'GAMMA': 0.6069200385523194, 'STEP_SIZE': 45, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3529816613275059, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 70, 'ETA': 0.5555711857289822, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 12, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9074517914227076, Current params: {'LEARNING_RATE': 0.00971840296623432, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0006273329986880706, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6152896047310382, 'DAMPENING': 0.05705967108628837, 'GAMMA': 0.11151461323142325, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 8, 'CHAIN_DEPTH': 3, 'ALPHA': 0.1077588581240959, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 6, 'ETA': 0.9530193524028654, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.8830606341362, Best params: {'LEARNING_RATE': 0.0038542066270855504, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.02067651170480237, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6187116231682738, 'DAMPENING': 0.05161410518657488, 'GAMMA': 0.3116864021034865, 'STEP_SIZE': 20, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 4, 'ALPHA': 0.3141496777650108, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 60, 'ETA': 0.5806152514489734, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.853649079799652, Current params: {'LEARNING_RATE': 0.005499742901177615, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.019209433796480532, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5110048848502972, 'DAMPENING': 0.0016965524797526235, 'GAMMA': 0.10150332917114174, 'STEP_SIZE': 5, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 3, 'ALPHA': 0.21173062627693218, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 54, 'ETA': 0.7310238835777901, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.853649079799652, Best params: {'LEARNING_RATE': 0.005499742901177615, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.019209433796480532, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5110048848502972, 'DAMPENING': 0.0016965524797526235, 'GAMMA': 0.10150332917114174, 'STEP_SIZE': 5, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 3, 'ALPHA': 0.21173062627693218, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 54, 'ETA': 0.7310238835777901, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.8219277177538191, Current params: {'LEARNING_RATE': 0.0025170527861624074, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.02165022230795221, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.5053672514428573, 'DAMPENING': 0.003953814335265961, 'GAMMA': 0.24988983772794393, 'STEP_SIZE': 22, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 1, 'ALPHA': 0.2508224467013881, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 63, 'ETA': 0.6335745869944334, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 12, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
