Current value: 1.8656917381286622, Current params: {'LEARNING_RATE': 0.003931740134383323, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0801306270824984, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5426195949048933, 'DAMPENING': 0.04427688826942693, 'GAMMA': 0.6810309561073697, 'STEP_SIZE': 10, 'USE_AUGMIX': True, 'SEVERITY': 6, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 4, 'ALPHA': 0.745549881069426, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 199, 'ETA': 0.4641307479999811, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 12, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 1.852827272415161, Best params: {'LEARNING_RATE': 0.009992184107029225, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.012289869929339538, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6575836424317639, 'DAMPENING': 0.06094613055640352, 'GAMMA': 0.4484374285082773, 'STEP_SIZE': 23, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9383955607971024, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.3447275014729376, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 1.9789217281341553, Current params: {'LEARNING_RATE': 0.0037402011627369323, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.05770214759146053, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6975488060644269, 'DAMPENING': 0.10845222623223197, 'GAMMA': 0.5000606270385989, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 7, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 3, 'ALPHA': 0.06327623021020823, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 207, 'ETA': 0.11138505203924687, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.852827272415161, Best params: {'LEARNING_RATE': 0.009992184107029225, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.012289869929339538, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6575836424317639, 'DAMPENING': 0.06094613055640352, 'GAMMA': 0.4484374285082773, 'STEP_SIZE': 23, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9383955607971024, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.3447275014729376, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 1.9363953971862793, Current params: {'LEARNING_RATE': 0.007221713393849238, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.037471002273199425, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6162986539421812, 'DAMPENING': 0.0012378113799115867, 'GAMMA': 0.12016171564898215, 'STEP_SIZE': 21, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 5, 'CHAIN_DEPTH': 7, 'ALPHA': 0.9951554849108052, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 169, 'ETA': 0.04753838699349655, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Augmix,Fourier,Jigsaw'}
     Best value: 1.852827272415161, Best params: {'LEARNING_RATE': 0.009992184107029225, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.012289869929339538, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6575836424317639, 'DAMPENING': 0.06094613055640352, 'GAMMA': 0.4484374285082773, 'STEP_SIZE': 23, 'USE_AUGMIX': False, 'SEVERITY': 8, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 2, 'ALPHA': 0.9383955607971024, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 158, 'ETA': 0.3447275014729376, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 1.8116786098480224, Current params: {'LEARNING_RATE': 0.002406173077276649, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09386533376792426, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5164110085502299, 'DAMPENING': 0.03674945873196854, 'GAMMA': 0.7787084389587133, 'STEP_SIZE': 5, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 5, 'CHAIN_DEPTH': 4, 'ALPHA': 0.692863673831264, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.3597074451221557, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 1.8116786098480224, Best params: {'LEARNING_RATE': 0.002406173077276649, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09386533376792426, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5164110085502299, 'DAMPENING': 0.03674945873196854, 'GAMMA': 0.7787084389587133, 'STEP_SIZE': 5, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 5, 'CHAIN_DEPTH': 4, 'ALPHA': 0.692863673831264, 'ALL_OPS': False, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 174, 'ETA': 0.3597074451221557, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 11, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
