Current value: 1.579285706792559, Current params: {'LEARNING_RATE': 0.003594306170730443, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.029679471186832857, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8463014894061618, Current params: {'LEARNING_RATE': 0.01723501791195732, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.005929751182943801, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.82503256532881, Current params: {'LEARNING_RATE': 0.009776473301755902, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.035666713481152655, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8154086555753435, Current params: {'LEARNING_RATE': 0.02160650556552177, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.018577691431982932, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8319061983199347, Current params: {'LEARNING_RATE': 0.003974095712206742, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0603313032735163, 'BATCH_SIZE': 16}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.3907343404633659, Current params: {'LEARNING_RATE': 0.0069405485462618564, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.002194417162385082, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.3823728561401367, Current params: {'LEARNING_RATE': 0.004804797784551668, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.005800814482219446, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.489327303000859, Current params: {'LEARNING_RATE': 0.013255438248658049, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0055201619396861214, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8812819463866097, Current params: {'LEARNING_RATE': 0.0716399058042479, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0415366299151541, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.6590014122150563, Current params: {'LEARNING_RATE': 7.72619773701423e-05, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.011214607252972596, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8223951436855175, Current params: {'LEARNING_RATE': 0.015926514266774834, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05024913023985564, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8202670947560724, Current params: {'LEARNING_RATE': 0.008704950555782274, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.025711396497769795, 'BATCH_SIZE': 32}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8608806839695684, Current params: {'LEARNING_RATE': 0.027466090576215588, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.004553969509267495, 'BATCH_SIZE': 64}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8198292085102625, Current params: {'LEARNING_RATE': 0.0032157788755352726, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.0718485416413132, 'BATCH_SIZE': 256}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.8503987874303545, Current params: {'LEARNING_RATE': 0.036260805564170086, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.014580675384492542, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
Current value: 1.5104050976889474, Current params: {'LEARNING_RATE': 0.0054814094809486945, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.009631422725950446, 'BATCH_SIZE': 128}
     Best value: 1.1928899089495342, Best params: {'LEARNING_RATE': 0.0003602628846504981, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.050650975367869784, 'BATCH_SIZE': 64}

#####################################################
