Current value: 0.47876779176294804, Current params: {'LEARNING_RATE': 0.007046000942656128, 'BETA_1': 0.8, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07274617508086559, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.8489979868096368, 'DAMPENING': 0.0012479035887872582, 'GAMMA': 0.6487313889151555, 'STEP_SIZE': 38, 'USE_AUGMIX': False, 'SEVERITY': 10, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 6, 'ALPHA': 0.5131649889444305, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 116, 'ETA': 0.6229109966811244, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
Current value: 0.6082223374396563, Current params: {'LEARNING_RATE': 0.005862758133400747, 'BETA_1': 0.8, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.007751229578624886, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.5654073073914985, 'DAMPENING': 0.10706155159300275, 'GAMMA': 0.8054590302411019, 'STEP_SIZE': 18, 'USE_AUGMIX': True, 'SEVERITY': 2, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 7, 'ALPHA': 0.32391632339027343, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 199, 'ETA': 0.5560384412110745, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 10, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}

#####################################################
Current value: 0.27879970194771886, Current params: {'LEARNING_RATE': 0.0015200557696993596, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09099009447705929, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7822846036203174, 'DAMPENING': 0.0588050614438023, 'GAMMA': 0.6293933112564227, 'STEP_SIZE': 43, 'USE_AUGMIX': True, 'SEVERITY': 4, 'MIXTURE_WIDTH': 1, 'CHAIN_DEPTH': 1, 'ALPHA': 0.23333013769136246, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 56, 'ETA': 0.29533885908253993, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 6, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 0.18428320751991123, Best params: {'LEARNING_RATE': 0.0019408708650507352, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.009406748108390551, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7904884131320105, 'DAMPENING': 0.04883709622080726, 'GAMMA': 0.3275101790864133, 'STEP_SIZE': 38, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 2, 'CHAIN_DEPTH': 1, 'ALPHA': 0.3351885832260796, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 198, 'ETA': 0.2691414222705627, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 6, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
