     Best value: 1.7199882316589354, Best params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 2.0701509141921997, Current params: {'LEARNING_RATE': 0.006944151551248653, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.04531624840782682, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.6451739402806618, 'DAMPENING': 0.08346032223774934, 'GAMMA': 0.37149921737105623, 'STEP_SIZE': 7, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 9, 'ALPHA': 0.7492934660885817, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 78, 'ETA': 0.5138415959224116, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 6, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.7199882316589354, Best params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9773525381088257, Current params: {'LEARNING_RATE': 0.009490763359192321, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09992203210858688, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.639812776801945, 'DAMPENING': 0.12081963792062077, 'GAMMA': 0.34739563763283465, 'STEP_SIZE': 17, 'USE_AUGMIX': False, 'SEVERITY': 5, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 6, 'ALPHA': 0.3492413504862492, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 82, 'ETA': 0.6865216199066342, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 4, 'MAX_GRID_SIZE': 7, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.7199882316589354, Best params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
Current value: 1.9948961782455443, Current params: {'LEARNING_RATE': 0.006827358414653125, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0427819725897635, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6930465199321794, 'DAMPENING': 0.04913612074187178, 'GAMMA': 0.5053161493507358, 'STEP_SIZE': 7, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 10, 'ALPHA': 0.7227904974081482, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 149, 'ETA': 0.4095083258018766, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 3, 'MAX_GRID_SIZE': 8, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.7199882316589354, Best params: {'LEARNING_RATE': 0.009754081484365157, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.09858178280577119, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.7485250847652176, 'DAMPENING': 0.1304482059257702, 'GAMMA': 0.3279550201323967, 'STEP_SIZE': 25, 'USE_AUGMIX': False, 'SEVERITY': 3, 'MIXTURE_WIDTH': 9, 'CHAIN_DEPTH': 3, 'ALPHA': 0.5177770200163813, 'ALL_OPS': True, 'INTERPOLATION': 'NEAREST', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 81, 'ETA': 0.7681662130993819, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 6, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}

#####################################################
