Current value: 1.750624690737043, Current params: {'LEARNING_RATE': 0.007368469967157748, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.660350330416283, 'DAMPENING': 0.13804953391958413, 'GAMMA': 0.19427414059419146, 'STEP_SIZE': 21}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7378628083637782, Current params: {'LEARNING_RATE': 0.004238825199258546, 'BETA_1': 0.95, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6129086580098824, 'DAMPENING': 0.09877152454776125, 'GAMMA': 0.5786112884150809, 'STEP_SIZE': 39}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.861415147781372, Current params: {'LEARNING_RATE': 0.005909030497249969, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7713331313398957, 'DAMPENING': 0.19523919512317833, 'GAMMA': 0.331703863421892, 'STEP_SIZE': 44}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7040640796933855, Current params: {'LEARNING_RATE': 0.005651659977591834, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.742137113342495, 'DAMPENING': 0.17076069811069053, 'GAMMA': 0.1287902596638755, 'STEP_SIZE': 50}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7673228297914778, Current params: {'LEARNING_RATE': 0.0049208460949910805, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6970032130443196, 'DAMPENING': 0.15575309908720084, 'GAMMA': 0.12090831462086005, 'STEP_SIZE': 50}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.6768196310315813, Current params: {'LEARNING_RATE': 0.00783784040970255, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6915226715856786, 'DAMPENING': 0.12766034333823525, 'GAMMA': 0.2170532360361236, 'STEP_SIZE': 46}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.760442887033735, Current params: {'LEARNING_RATE': 0.008159970587230699, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6815060378571327, 'DAMPENING': 0.12845584118892295, 'GAMMA': 0.2042072130293514, 'STEP_SIZE': 45}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.9808998300571634, Current params: {'LEARNING_RATE': 0.009380976114426492, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 16, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6209338841540915, 'DAMPENING': 0.10734699277267332, 'GAMMA': 0.35712254739366844, 'STEP_SIZE': 37}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 3.030552319117955, Current params: {'LEARNING_RATE': 0.006929550343196439, 'BETA_1': 0.95, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5756678124269684, 'DAMPENING': 0.08461226151928503, 'GAMMA': 0.2401633562712012, 'STEP_SIZE': 31}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7816174370901925, Current params: {'LEARNING_RATE': 0.007717300483985077, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.641506793623564, 'DAMPENING': 0.13295737854171902, 'GAMMA': 0.5622525367233628, 'STEP_SIZE': 40}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7484105825424194, Current params: {'LEARNING_RATE': 0.009106289782919316, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7584804231084845, 'DAMPENING': 0.10658732841486937, 'GAMMA': 0.3455551586087681, 'STEP_SIZE': 46}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.952722035921537, Current params: {'LEARNING_RATE': 0.0063198751844955325, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6783086875921344, 'DAMPENING': 0.15281997701864686, 'GAMMA': 0.180896502146478, 'STEP_SIZE': 18}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.811830297865049, Current params: {'LEARNING_RATE': 0.0040513629256443435, 'BETA_1': 0.8, 'BETA_2': 0.99, 'BATCH_SIZE': 16, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.706604948494473, 'DAMPENING': 0.18281321167389633, 'GAMMA': 0.3845571722357731, 'STEP_SIZE': 32}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7543280635561262, Current params: {'LEARNING_RATE': 0.005441803331671584, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7239015111948902, 'DAMPENING': 0.16463098253738392, 'GAMMA': 0.10258590301731654, 'STEP_SIZE': 49}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7218418632234846, Current params: {'LEARNING_RATE': 0.0050085267951790885, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.7527840893266373, 'DAMPENING': 0.17910198954729492, 'GAMMA': 0.16237098183615975, 'STEP_SIZE': 47}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.907237491607666, Current params: {'LEARNING_RATE': 0.006437926303361636, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 64, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'StepLR', 'MOMENTUM': 0.6900050076600273, 'DAMPENING': 0.14513517832201386, 'GAMMA': 0.23308495389124861, 'STEP_SIZE': 42}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 2.159817072061392, Current params: {'LEARNING_RATE': 0.002295314001569355, 'BETA_1': 0.9, 'BETA_2': 0.9999, 'BATCH_SIZE': 128, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6608921044772228, 'DAMPENING': 0.12880775409783962, 'GAMMA': 0.11110224692860232, 'STEP_SIZE': 50}
     Best value: 1.6631765025002616, Best params: {'LEARNING_RATE': 0.005068701675267783, 'BETA_1': 0.9, 'BETA_2': 0.99, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6428883623888181, 'DAMPENING': 0.13550875067767426, 'GAMMA': 0.1095328654414282, 'STEP_SIZE': 42}

#####################################################
Current value: 1.7737673350742884, Current params: {'LEARNING_RATE': 0.0075769525063266695, 'BETA_1': 0.9, 'BETA_2': 0.999, 'BATCH_SIZE': 256, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'CosineAnnealingLR', 'MOMENTUM': 0.7978839358026504, 'DAMPENING': 0.15630267977154652, 'GAMMA': 0.30375604596297423, 'STEP_SIZE': 45}
