Val set other domain


     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.9250603690743446, Current params: {'LEARNING_RATE': 0.003972745374553532, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.0995441513380078, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5491862440494667, 'DAMPENING': 0.11325683463560364, 'GAMMA': 0.26215637146612714, 'STEP_SIZE': 50}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.9291788712143898, Current params: {'LEARNING_RATE': 0.008205943793487493, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08328324228162878, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6213585802541436, 'DAMPENING': 0.08800621991297758, 'GAMMA': 0.4125316150273133, 'STEP_SIZE': 44}
     Best value: 1.7132789678871632, Best params: {'LEARNING_RATE': 0.0037396369165369047, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08396816108460477, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.5584406139363055, 'DAMPENING': 0.039655851288303734, 'GAMMA': 0.23303320308281045, 'STEP_SIZE': 50}

#####################################################
Current value: 1.9345959722995758, Current params: {'LEARNING_RATE': 0.004530962178249389, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.08449523719872537, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.5494791076983939, 'DAMPENING': 0.13005934598425037, 'GAMMA': 0.18068120813072297, 'STEP_SIZE': 33}
