     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.5300284847617149, Current params: {'LEARNING_RATE': 0.003983017839059491, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.018293441605205477, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.7910900983217225, 'DAMPENING': 0.00018362317925575689, 'GAMMA': 0.37517693797836066, 'STEP_SIZE': 7, 'USE_AUGMIX': True, 'SEVERITY': 1, 'MIXTURE_WIDTH': 10, 'CHAIN_DEPTH': 1, 'ALPHA': 0.0723541852834293, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 97, 'ETA': 0.991131825037078, 'USE_JIGSAW': True, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 6, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.38236763421446085, Best params: {'LEARNING_RATE': 0.004547890034295835, 'BETA_1': 0.95, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.03471351568901988, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'None', 'MOMENTUM': 0.6311662963833975, 'DAMPENING': 0.016446238796156143, 'GAMMA': 0.8807834063107793, 'STEP_SIZE': 48, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 6, 'CHAIN_DEPTH': 10, 'ALPHA': 0.6030446195627384, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 100, 'ETA': 0.2973087789541553, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 8, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 0.26425710297189653, Current params: {'LEARNING_RATE': 0.0030863842483849014, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.02921512504116306, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.6704676875209014, 'DAMPENING': 0.031042085268350658, 'GAMMA': 0.6538587016410744, 'STEP_SIZE': 28, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 3, 'ALPHA': 0.9936919495550218, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 113, 'ETA': 0.858924001267765, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 7, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}
     Best value: 0.26425710297189653, Best params: {'LEARNING_RATE': 0.0030863842483849014, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.02921512504116306, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'None', 'MOMENTUM': 0.6704676875209014, 'DAMPENING': 0.031042085268350658, 'GAMMA': 0.6538587016410744, 'STEP_SIZE': 28, 'USE_AUGMIX': False, 'SEVERITY': 1, 'MIXTURE_WIDTH': 4, 'CHAIN_DEPTH': 3, 'ALPHA': 0.9936919495550218, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 113, 'ETA': 0.858924001267765, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 7, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

