Current value: 1.856735348701477, Current params: {'LEARNING_RATE': 0.008899607954731891, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09773746882962846, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.789979296990999, 'DAMPENING': 0.0977218102987093, 'GAMMA': 0.4539095469567936, 'STEP_SIZE': 36}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 1.9360936709812708, Current params: {'LEARNING_RATE': 0.008822901212261309, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09963960379621509, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.7878381555577529, 'DAMPENING': 0.09311366795716801, 'GAMMA': 0.4743991745380033, 'STEP_SIZE': 37}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}

#####################################################
Current value: 2.009418717452458, Current params: {'LEARNING_RATE': 0.007562154932619199, 'BETA_1': 0.95, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.06950894581378847, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8509777811937241, 'DAMPENING': 0.09680986501661193, 'GAMMA': 0.5903725058887255, 'STEP_SIZE': 33}
     Best value: 1.7902796098164149, Best params: {'LEARNING_RATE': 0.008324050355235, 'BETA_1': 0.9, 'BETA_2': 0.99, 'WEIGHT_DECAY': 0.07813724665584183, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'LinearLR', 'MOMENTUM': 0.8999018522440565, 'DAMPENING': 0.15738962447031105, 'GAMMA': 0.10223896606120997, 'STEP_SIZE': 37}
