
#####################################################
Current value: 1.9516453444957733, Current params: {'LEARNING_RATE': 0.005095306274770231, 'BETA_1': 0.9, 'BETA_2': 0.999, 'WEIGHT_DECAY': 0.09204982323875871, 'OPTIMIZER': 'AdamW', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.892000232095396, 'DAMPENING': 0.011647437675472784, 'GAMMA': 0.8405972302231437, 'STEP_SIZE': 7, 'USE_AUGMIX': True, 'SEVERITY': 7, 'MIXTURE_WIDTH': 7, 'CHAIN_DEPTH': 6, 'ALPHA': 0.9171211491032649, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': True, 'SQUARE_SIZE_SINGLE_SIDE': 41, 'ETA': 0.6835173143911276, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 5, 'MAX_GRID_SIZE': 9, 'USE_DLOW': True, 'TRANSFORMATIONS_ORDER': 'Augmix,Fourier,Dlow,Jigsaw'}
     Best value: 1.780311681330204, Best params: {'LEARNING_RATE': 0.004392540164711461, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09164210494338199, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6624507924590248, 'DAMPENING': 0.037499376205614346, 'GAMMA': 0.6499456996900029, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.26314608445181586, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 164, 'ETA': 0.039979223422058396, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
Current value: 1.9574020579457283, Current params: {'LEARNING_RATE': 0.0008054352704150005, 'BETA_1': 0.8, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.05846172298866427, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6091719855984842, 'DAMPENING': 0.14036362474499411, 'GAMMA': 0.6667141983363837, 'STEP_SIZE': 24, 'USE_AUGMIX': False, 'SEVERITY': 10, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 1, 'ALPHA': 0.07970952647705659, 'ALL_OPS': False, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 70, 'ETA': 0.37898473547916567, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 15, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Augmix,Dlow,Fourier,Jigsaw'}
     Best value: 1.780311681330204, Best params: {'LEARNING_RATE': 0.004392540164711461, 'BETA_1': 0.95, 'BETA_2': 0.9999, 'WEIGHT_DECAY': 0.09164210494338199, 'OPTIMIZER': 'SGD', 'SCHEDULER': 'ReduceLROnPlateau', 'MOMENTUM': 0.6624507924590248, 'DAMPENING': 0.037499376205614346, 'GAMMA': 0.6499456996900029, 'STEP_SIZE': 26, 'USE_AUGMIX': False, 'SEVERITY': 6, 'MIXTURE_WIDTH': 3, 'CHAIN_DEPTH': 4, 'ALPHA': 0.26314608445181586, 'ALL_OPS': True, 'INTERPOLATION': 'BILINEAR', 'USE_FOURIER': False, 'SQUARE_SIZE_SINGLE_SIDE': 164, 'ETA': 0.039979223422058396, 'USE_JIGSAW': False, 'MIN_GRID_SIZE': 2, 'MAX_GRID_SIZE': 8, 'USE_DLOW': False, 'TRANSFORMATIONS_ORDER': 'Dlow,Fourier,Augmix,Jigsaw'}

#####################################################
